normal,gen_z,Word/Phrase,Definition,Popularity/Trend Level
"I lost my keys again, I am laughing.","I lost my keys again, 55555!",,,
"That joke was hilarious, ha ha ha ha ha.","That joke was hilarious, 55555!",,,
You look attractive in that outfit.,You’re looking 6Y in that outfit!,,,
That deception was impressive.,That trick was 7K!,,,
I observed many Hells Angels Motorcycle Corporation members at the public gathering.,Saw a bunch of 81 members at the rally.,,,
"You mean the world to me, I love you.","You mean the world to me, 831.",,,
We need to cancel that project; it is not working.,We need to 86 that project; it’s not working.,,,
"I have to leave, goodbye","I’ve got to go, 88!",,,
"Goodnight, goodbye","Goodnight, 88!",,,
I am unable to converse at this moment.,"Can’t talk right now, 9.",,,
"That was considerate of you, sincerely.","That was sweet of you, *s*.",,,
I will see you later.,I’ll see you later *w*.,,,
Please inform me of your availability. I will be there.,"Let me know when you’re free, I’m A3!",,,
He has been attending Alcoholics Anonymous meetings for one year.,He’s been attending AA meetings for a year now.,,,
Consult the AA instructions for additional information.,See the AA instructions for details.,,,
"If you are uncertain, simply ask the manager for assistance.","If you’re unsure, just AA the manager.",,,
"As a matter of fact, I did finish the report yesterday.","AAF, I did finish the report yesterday.",,,
I only see him as a friend.,I only see him AAF.,,,
"I apologize for the delayed response, I was away from the keyboard last night.","Sorry for the late response, I was AAK last night.",,,
"Do not be concerned about me, I am still all-around excellent.","Don’t worry about me, I’m still AAK!",,,
"As a matter of fact, I was just about to call you.","AAMOF, I was just about to call you.",,,
"As a matter of interest, do you know when the meeting starts?","AAMOI, do you know when the meeting starts?",,,
"Thank you for your assistance. As always, appreciate your partnership.",Thanks for your help! AAP!,,,
"As always, we should meet next week to discuss this.","AAR, we should meet next week to discuss this.",,,
"Despite everything, I’m still an absolute asset!","Despite everything, I’m still AAS!",,,
You are correct again.,"You’re right again, AASHTA!",,,
She has been out of the loop all night working on that project.,She’s been AATK all night working on that project.,,,
"Take care, stay safe and sound, until next time","Take care, AAYF, until next time!",,,
That is very funny.,LOL is an ABBR for ‘laugh out loud’.,,,
These ideas are basic and unoriginal; let us conceive of something new.,"These ideas are ABC, let’s come up with something original.",,,
"Do not worry about the task, it is absolutely done.","Don’t worry about the task, it’s ABD.",,,
I am about to leave for the meeting.,I’m ABT to leave for the meeting.,,,
I am about to finish my assignment.,I’m ABT2 finish my assignment.,,,
"It was nice seeing you, absolutely.","It was nice seeing you, ABTA!",,,
My computer is unusable after that update.,My computer is ABU after that update.,,,
"The report you sent looks good, a comment.","The report you sent looks good, AC.",,,
"The party is open to everyone, actually.","The party is open to everyone, ACC.",,,
"When your computer freezes, just ask your friendly neighborhood computer expert for help.","When your computer freezes, just ACD.",,,
"I was involved in a slight accident while returning home, but I am unharmed.","Had a minor ACDNT on the way home, but I’m okay.",,,
Let's plan to have an excellent time this weekend.,Let’s roll an ACE for the weekend.,,,
Can you acknowledge receipt of the package?,Can you ACK that you received the package?,,,
Did you accept the terms of the contract?,Did you ACPT the terms of the contract?,,,
The company's latest acquisition was a huge success.,The company’s latest ACQSTN was a huge success.,,,
"Work was challenging today, but all good, all good.","Work was tough today, but ADAD.",,,
"I finished the project, although I have to admit it was boring.","Finished the project, ADBB!",,,
Can you send me your address for the invitation?,Can you send me your ADD for the invitation?,,,
What is your address for the party?,What’s your ADDY for the party?,,,
"That meeting was difficult, another day in this unfortunate situation.","That meeting was rough, ADIH.",,,
I spent the day at the beach; it was another day in paradise.,"Spent the day at the beach, ADIP!",,,
You will need to speak with the administrator to obtain access.,You’ll need to talk to the ADMIN to get access.,,,
She is the administrator for this forum.,She’s the ADMINR for this forum.,,,
The package should arrive any day now.,The package should arrive ADN.,,,
I sent the package to your address.,I sent the package to your ADR.,,,
The spell has an area of effect that targets multiple adversaries.,The spell has an AE that affects multiple enemies.,,,
We need that report as soon as possible.,We need that report AEAP!,,,
"I thoroughly deceived you with that prank, as a matter of fact.","Got you good with that prank, AF!",,,
That was exceptionally cool.,That was cool AF!,,,
"His aggression factor was too high in that game, he played too aggressively.","His AF was too high in that game, he played too aggressively.",,,
"I will return shortly, as I will be away from the keyboard for a while.","Be right back, AFC for a bit.",,,
"As far as I am aware, the meeting is still on schedule.","AFAIAA, the meeting is still on schedule.",,,
"As far as I am concerned, we are ready to proceed.","AFAIC, we’re good to go.",,,
"As far as I know, they have not made a decision yet.","AFAIK, they haven’t made a decision yet.",,,
"As far as I understand it, the project is almost finished.","AFAIUI, the project is almost finished.",,,
"Finish the task as fast as possible, it is a priority.","Finish the task AFAP, it’s a priority.",,,
He had an AFAB tattoo on his arm.,He had an AFFA tattoo on his arm.,,,
That was not serious; it was simply an April Fools' joke.,"That wasn’t serious, just an AFJ!",,,
I will be away from the keyboard for a few minutes; I require a break.,"I’ll be AFK for a few minutes, need a break.",,,
"There is no requirement for using abbreviations, as this is an abbreviation-free zone.","No need for abbreviations, this is an AFZ.",,,
I need as far as I'm concerned to review this document.,I need AFPOE to review this document.,,,
He has the highest possible agility statistics in the game.,He’s got max AGI stats in the game.,,,
"I am completely at peace, simply relaxing today.","I’m AH, just relaxing today.",,,
Are you asserting that you completed that task in only five minutes? That is an unbelievable accomplishment.,You’re saying you finished that in 5 minutes? AIAMU!,,,
"I will see you tomorrow, correct?","I’ll see you tomorrow, AIGHT?",,,
"Actually, the deadline was next week.","AIR, the deadline was next week.",,,
"Everything is proceeding smoothly, as I said before.","Everything is going smoothly, AISB.",,,
"As I said before, we need to adhere to the original plan.","AISB, we need to stick to the original plan.",,,
"As I see it, we should approach this problem differently.","AISI, we should approach this problem differently.",,,
I need to be the adult in the room and handle this responsibly.,I need to be the AITR and handle this responsibly.,,,
He is also known as the best coder in the company.,He’s AKA the best coder in the company.,,,
Please send this memo to ALCON.,Please send this memo to ALCON.,,,
"That was very amusing, actual laughter out loud.","That was so funny, ALOL!",,,
I will be hosting an Ask Me Anything session on Reddit later.,Doing an AMA session on Reddit later!,,,
Please work as much as possible on this project today.,Please work AMAP on this project today.,,,
"Congratulations on your promotion, according to my unbiased opinion!","Congrats on your promotion, AMBW!",,,
"I miss you, as a matter of fact.","Miss you, AML!",,,
"As a matter of fact, I was planning to call you today.","AMOF, I was planning to call you today.",,,
Author's Note: I will update the next chapter shortly.,A/N: I’ll update the next chapter soon.,,,
I have been playing Apex Legends all weekend.,I’ve been playing AO all weekend.,,,
I am the contact person if you need to reach me.,I’m AOC if you need to reach me.,,,
The mage cast an area of effect spell on the enemies.,The mage cast an AOE spell on the enemies.,,,
"She has recently reached the age of 18, which is officially the age of majority.","She just turned 18, officially at the AOM.",,,
I am going to play Age of Mythology with some friends later.,I’m playing AOM with some friends later.,,,
"When considering the possible reasons for my exhaustion, the answer is all of the above.",When it comes to reasons I’m tired: AOTA.,,,
"Goodnight, sleep well, and on your part.","Goodnight, sleep tight, AOYP.",,,
Appreciation to the entire team for the hard work.,APAC to the entire team for the hard work!,,,
I need to install this application for work.,I need to install this APP for work.,,,
"Thank you for your assistance, Apple.","Thanks for your help, APP!",,,
We need to finish this as quickly as possible.,We need to finish this AQAP!,,,
I will archive these old files.,I'll ARC these old files.,,,
"Working in the technology industry means being in an acute, relentless environment.",Working in tech means being in an ARE.,,,
I had a huge argument with my friend last night.,Had a huge ARG with my friend last night.,,,
"The plan did not work, and so it goes.","The plan didn’t work, ASIG.",,,
Could you please send me the report as soon as possible?,Can you send me the report ASAP?,,,
"Hello, what is your age, sex, and location?","Hey, A/S/L?",,,
"What is your age, sex, and location?",What's your ASL?,,,
"Could you please provide your age, sex, and location?",Can you give me your ASLA?,,,
I will arrive shortly.,I'll be AT in 5 minutes.,,,
"Good luck with your exams, all the best.","Good luck with your exams, ATB!",,,
"At the end of the day, we simply desire the project to be successful.","ATEOTD, we just want the project to succeed.",,,
I am very busy at the moment.,I’m really busy ATM.,,,
"I love you more than A Star Is Born, The Musical.",I love you more than ATSITS.,,,
"At the end of the day, we should consider other options.","ATSL, we should consider other options.",,,
I will see you later.,See you later! AWC!,,,
That party was amazing.,That party was AWESO!,,,
He has been absent without leave for a few days now.,He’s been AWOL for a few days now.,,,
He was absent without leave during the meeting.,He went AWOL during the meeting.,,,
"I am waiting, are you done yet?","I’m waiting, AYDY?",,,
"That internet joke is timeless, all your base are belong to us.","That meme is classic, AYBABTU!",,,
Please send me the document at your earliest convenience.,Please send me the document AYEC.,,,
"You may proceed, but you must assume your own risk.","You can go ahead, but AYOR!",,,
"Why would you do that, are you serious on purpose?","Why would you do that, AYSOS?",,,
Are you serious? I cannot believe it.,AYS? I can’t believe it!,,,
Are you there? I have not heard from you.,AYT? Haven’t heard from you.,,,
Are you trying to mock me? What is the purpose of this?,AYTMTB? What’s the point?,,,
Are you awake? It is time to get out of bed.,AYV? Time to get up!,,,
"Everything is acceptable now, as you wish.","It’s all good now, AYW.",,,
I will do it as you wish.,I’ll do it AYW.,,,
"He is Asian, correct?","He’s AZN, right?",,,
I will be back in a second.,I’ll be B in a sec.,,,
Just be yourself.,Just B yourself!,,,
He was banned from the online forum.,He got B& from the forum.,,,
The text provided is already in formal English.,Our company focuses on B2B sales.,,,
We must enhance our business-to-consumer strategy.,We need to boost our B2C strategy.,,,
The break is concluded; return to work.,"Break’s over, B2W.",,,
Do not take that route; it is a deception.,"Don’t take the B8, it’s a trap!",,,
Please be quiet and refrain from bothering me.,"Quiet, B9!",,,
My boyfriend is meeting me later.,My B/F is meeting me later.,,,
Please provide me with the background information on that matter.,Give me the B/G on that.,,,
Let us meet before the event.,Let’s meet B4 the event.,,,
"I must leave now, goodbye for the time being.","Gotta go, B4N!",,,
I was laughing a great deal at that joke.,I was BAG laughing at that joke!,,,
That was an excellent move.,That move was BA!,,,
You are my significant other.,You’re my BAE.,,,
"Hello, what is happening?","Hey BAE, what’s up?",,,
"This is my best and final offer, accept it or reject it.","This is my BAFO, take it or leave it.",,,
I will be right back; I will return to the keyboard in five minutes.,"BRB, BAK in 5.",,,
That was such an impressive action.,That was such a BAM move.,,,
He handled that like a bad-a** m*therf***er.,He handled that like a BAMF!,,,
BAO regarding the amendments to the schedule.,BAO of the changes in the schedule.,,,
He experienced a sense of elation after hearing the good news.,He had a BAS after hearing the good news.,,,
Her outfit is unremarkable,Her outfit is so BASIC.,,,
"I have finally finished the project, based on a true story.","Finally finished the project, BASOR!",,,
"After the meeting, it was business as usual.","After the meeting, it was BAU.",,,
Good luck! Bay Area!,Good luck! BAY!,,,
"I am leaving, I will be back in 10 minutes.","I’m stepping out, BB in 10.",,,
The extensive use of data feels as though a supervisory authority is observing.,Big data feels like BB is watching.,,,
"Hello, I miss you!","Hey BB, miss you!",,,
This new project is exceptionally impressive.,This new project is a BBC.,,,
"I must depart now, I will be back in a bit.","Gotta run, BBIAB!",,,
"I am heading to the store, be back in a few.","I’m heading to the store, BBIAF.",,,
"Please wait, I will be back in a minute.","Hold on, BBIAM.",,,
"I need to get some water, so I will be back in a second.","Let me grab some water, BBIAS.",,,
I have to run some errands; I will be back later.,"I have to run some errands, BBL.",,,
"It is time for me to depart, bye for now.","Time for me to head out, BBN!",,,
We are having a barbecue this weekend.,We’re having a BBQ this weekend!,,,
"I am taking a quick break, be back soon.","I’m taking a quick break, BBS.",,,
The work is complete for today.,"Work’s done for today, BBT.",,,
I am late because the traffic was excessive.,I’m late BC traffic was crazy.,,,
I am leaving early because I have an appointment.,I’m leaving early B/C I have an appointment.,,,
"Do not concern yourself with that, simply because.","Don’t worry about it, just BC.",,,
"It was nice catching up, be seeing you.","It was nice catching up, BCNU!",,,
I am going home early because I am tired.,I’m heading home early BCOS I’m tired.,,,
I think I have a crush on that new guy.,I think I have a BCO that new guy.,,,
"I was unaware you possessed a boyfriend, cousin, or younger sibling.",I didn’t know you had a BCOY!,,,
It is not very difficult.,"It’s not that hard, no BD.",,,
My birthday is next week.,My BDAY is next week!,,,
Happy Birthday,Happy B-DAY!,,,
That is a big deal now to solve.,That’s a BDN to solve!,,,
He looked at me with a bewildered expression after playing the joke.,He looked at me with a BEG after pulling the prank.,,,
My primary avatar in World of Warcraft is a Blood Elf.,My main character in WoW is a BELF.,,,
I am meeting my boyfriend for dinner.,I’m meeting my BF for dinner.,,,
I experienced a mental breakdown during that meeting.,I totally had a BF during that meeting.,,,
He is my best friend forever and ever; we have lunch together every day.,He’s my BFAW; we have lunch together every day.,,,
I am playing Battlefield 2 this evening.,I’m playing BF2 tonight.,,,
My boyfriend and I have been acquainted for many years.,My BF and I have known each other for years.,,,
She is my best friend; we tell each other everything.,"She’s my BFF, we tell each other everything.",,,
We have been best friends for life since high school.,We’ve been BFFL since high school.,,,
"Even though we are geographically separated, we are best friends for life, no matter what.","Even though we’re miles apart, we’re BFFLNMW.",,,
"It is not very difficult, it is not a big deal.","It’s not that hard, no BFD.",,,
She gave me a very cold and unresponsive reaction when I told her the news.,She gave me a BFG when I told her the news.,,,
"We are no longer as close as we once were, we are merely best friends for now.","We’re not as close anymore, just BFFN.",,,
"I have to leave now, goodbye for now","Got to go, BFN!",,,
He entered with a handsome person after winning the game,He walked in with a BG after winning the game.,,,
"It is my first time here, be gentle with me.","It’s my first time here, BGWM!",,,
I am running late and will be home late tonight.,"Running late, BHL8 tonight.",,,
"I must depart now, goodbye.","Gotta go, BIB.",,,
"I consumed too much alcohol yesterday evening, and you are aware of the consequences of excessive intoxication.","Had too many beers last night, you know how it is, BIBO!",,,
It is time to be focused and complete this report.,It’s time to get BIC and finish this report.,,,
"Before I forget, do not forget the meeting at 3 PM.","BIF, don’t forget the meeting at 3!",,,
I am extremely angry with him; he may leave.,"I’m so mad at him, he can BIH.",,,
I am spending time with my brother-in-law this weekend.,I’m hanging out with my BIL this weekend.,,,
"I will return shortly, as I need to use the restroom.","BRB, BIO.",,,
"Believe it or not, I actually won the lottery!","BION, I actually won the lottery!",,,
"I am indifferent to your opinion, but it is acceptable if you believe otherwise.","I don’t care what you think, BIOYA.",,,
"You are being ridiculous, but that is none of my business.","You’re being ridiculous, BIOYN.",,,
That new sword is the best in slot equipment for my character.,That new sword is BIS for my character.,,,
The news about the merger is completely false for now.,The news about the merger is BISFLATM for now.,,,
"We are waiting for the results, but in the meantime, let us finish the other tasks.","We’re waiting for the results, BITMT, let’s finish the other tasks.",,,
That joke caused me to laugh heartily.,That joke gave me a BL!,,,
"Did not win the game, but life goes on.","Didn’t win the game, BLNT!",,,
I am conversing with some gentlemen on Discord.,I’m chatting with some blokes on Discord.,,,
"If you do not like it, deal with it.","If you don’t like it, BM!",,,
"Based on my experience, that is not the typical procedure.","BME, that’s not how it usually works.",,,
"Between you and me, I think she is going to resign soon.","BM&Y, I think she’s going to quit soon.",,,
That is my assigned seat.,"That’s my seat, BOB!",,,
I received some background information regarding the project.,Got some BN about the project.,,,
I just found a Bind-on-Equip item in the dungeon.,I just found a BOE item in the dungeon.,,,
"Another round of layoffs? Bend over, here it comes again.",Another round of layoffs? BOHICA.,,,
Good luck with your new job.,BOL on your new job!,,,
I am late because of my meeting.,"I’m late BOM, I had a meeting.",,,
Be on the lookout for the new shipment tomorrow.,BOLO for the new shipment tomorrow.,,,
This meeting is making me angry.,This meeting is making me BOOMS.,,,
"This sword is Bind on Pickup, so I must decide whether or not I want to acquire it.","This sword is BOP, so I have to decide if I want it.",,,
That video made me laugh uncontrollably.,That video had me BOSMKL!,,,
"Okay, automated system, what is the next item on the agenda?","Okay, BOT, what’s the next agenda item?",,,
"I am busy, and currently working on the task.","I’m BOT, working on it now.",,,
You are exceptionally attractive.,"You’re so gorgeous, you BMS!",,,
My boyfriend is meeting me for dinner.,My BOYF is meeting me for dinner.,,,
He is someone who makes promises without acting on them.,"He’s all talk, just a BPLM.",,,
I need to retrieve an item; I will return shortly.,"Need to grab something, BRB.",,,
"I look forward to the meeting, Best Regards.","Looking forward to the meeting, BR.",,,
"Wait a moment, I will be right back.","Hold on, BRBB!",,,
"I require a brief intermission, be right back, never fear, constant user.","Need a quick break, BRNC.",,,
I am extremely bored at my job today.,I’m so BRD at work today.,,,
I will be right here if you require assistance,I’ll BRH if you need anything.,,,
"I am on my way, be right there.","On my way, BRT!",,,
"Best friend, let us return to the main topic.","BSF, let’s get back to the point.",,,
My computer just displayed a Blue Screen of Death.,My computer just hit me with the BSOD!,,,
"I am bringing an extra charger, better safe than sorry.","I’m bringing an extra charger, BSTS.",,,
"If you do not approve of my idea, tough luck.","If you don’t like my idea, BT.",,,
We are currently behind schedule and in the process of changing our systems.,"We’re currently BT, transitioning our systems.",,,
"It seems like a good idea, but the truth is, it might not work out.","It seems like a good idea, BTA, it might not work out.",,,
"Oh, another road trip? Been there, done that.","Oh, another road trip? BTDT.",,,
"By the way, did you watch the new episode","BTW, did you see the new episode?",,,
I purchased a bicycle last night.,I got a BTYCL last night.,,,
"She is extremely beautiful, a genuinely lovely person.","She's absolutely stunning, a real BUBU.",,,
That was a devastating insult during the debate.,That was a sick BURN during the debate!,,,
The mage class received a beneficial improvement in the new update.,The mage class got a Buff in the new update.,,,
That joke made me laugh out loud.,That joke had me BWL!,,,
"We are hosting a social gathering this weekend, please bring your own beverage.","We’re having a party this weekend, BYOB!",,,
"The local area network gathering requires you to bring your own computer, so please remember to bring your equipment.","The LAN party is BYOC, so don’t forget your setup!",,,
"Our company has a Bring Your Own Device policy, so you are permitted to use your personal laptop.","Our company is BYOD, so you can use your own laptop.",,,
"If you make a mistake again, I will deal with the consequences myself.","If you mess up again, I’ll BYOH!",,,
We are going to the bring your own paint field this weekend.,We’re going to the BYOP field this weekend.,,,
"That meeting sounds difficult, believe you me.","That meeting sounds rough, BYTM!",,,
That joke made me chuckle and grin.,That joke made me C&G.,,,
"I have to leave now, call for now.","I’ve got to run, C4N!",,,
"My computer became inoperable, so it is time for a cigarette.","My computer froze, time for a CAD.",,,
I met an attractive person at the conference.,I met a CAD at the conference.,,,
Happy Birthday! I hope you have a great day!,Happy Cakeday! Hope you have a great one!,,,
Activate your webcam for the meeting.,Turn on your CAM for the meeting.,,,
I am going out for coffee break; is anyone accompanying me?,"I’m heading out for a CB, anyone joining?",,,
Let us take a quick break and discuss recent events.,Let’s take a quick CB and catch up.,,,
That party last night was excellent.,That party last night was CB!,,,
"I cannot talk right now, parents are around.","I can’t talk right now, CD9.",,,
Are you posting a Close Friends Story? I have some fascinating information to share.,CFS? I have some juicy gossip.,,,
"Hello, I am contacting you for assistance with something.","Hey, CFY! Need your help with something.",,,
Can you check if the report is ready?,Can you CHK if the report is ready?,,,
"I am leaving now, goodbye.","Heading out now, CIAO!",,,
"I have consumed too much caffeine, and it is time for me to log my calories in and calories out.","Too much caffeine, CICO time!",,,
"Following that presentation, I am overwhelmed.","After that presentation, I’m CID.",,,
Need help with that? Consider it done.,Need help with that? CID.,,,
I was crying like a baby during that sad movie.,I was CLAB during that sad movie.,,,
I could help you with that later.,I CLD help you with that later.,,,
Just click here to sign up.,Just CLK here to sign up.,,,
I need to talk. Call me when you are free.,"I need to talk, CM when you’re free.",,,
Can you provide support to me during the meeting?,Can you be my CMAP during the meeting?,,,
I missed your phone call; call me back when you are available.,"Missed your call, CMB when you can.",,,
She is the Community Manager for our online forum.,She’s the CMGR for our online forum.,,,
"Correct me if I'm wrong, but isn't the meeting tomorrow?","CMIIW, but isn’t the meeting tomorrow?",,,
"Please, you must be joking.","CMON, you can’t be serious!",,,
"This story is excessively lengthy, I need to know the most crucial parts.","This story is too long, CNP!",,,
We require the report by the close of business today.,We need the report by COB today.,,,
I am logging into City of Heroes this evening,I’m logging into COH tonight.,,,
"I am currently residing in Colorado Springs, and it is raining.",I’m staying in COS it’s raining.,,,
I will copy and paste this to the other forum as well.,I’ll C/P this to the other forum too.,,,
I will respond to your chat post later.,I’ll respond to your CP later.,,,
I am attempting to create a new design.,I’m trying to CR8 a new design.,,,
That concert was absolutely crazy.,That concert was totally Cray!,,,
I am going to create a new logo.,I’m going to CRE8 a new logo.,,,
That party was exceedingly wild.,That party was CRA CRA!,,,
"I have been studying all night, but I must now produce something","I’ve been studying all night, but now I CRAFT!",,,
"I need to quickly retrieve an item, Carl Robert Brown.","I just need to grab something, CRB.",,,
That movie made me cry intensely at the end.,That movie had me CRBT at the end.,,,
I successfully delivered a critical blow to the opponent.,I landed a CRIT on the boss!,,,
That rollercoaster was crazy.,That rollercoaster was CRZ!,,,
I have been experiencing difficulty remembering things recently; where did I place my keys?,"I’ve got CRS lately, where did I put my keys?",,,
That meme caused me to laugh hysterically.,That meme got a CSG out of me.,,,
"That joke was hilarious, I cannot stop laughing.","That joke was hilarious, I CSL!",,,
I am going to log into Counter-Strike: Source this evening to play some games.,I’m going to hop on CSS tonight for some games.,,,
I will contact you now and call you later.,"CT now, call you later.",,,
"Hello, would you care to chat for a short period of time?","Hey, CTC for a bit?",,,
That video caused me to laugh uncontrollably.,That video had me CTHU!,,,
I cannot talk now; I am currently attending a meeting.,"CTN, I’m in a meeting.",,,
"Chief Technology Officer, you must see this.","CTO, you have to see this!",,,
I will see you later.,CU later!,,,
I will see you after work.,I’ll CU after work.,,,
"Goodbye, I will see you soon.","Take care, CU2 soon!",,,
"Alright, see you later!","Alright, CUA!",,,
"I must depart now, see you later.","Gotta go, CUL!",,,
I am leaving now; see you later.,"Heading out, CULA!",,,
"Talk to you soon, see you later.","Talk to you soon, CUL8R!",,,
"Goodnight, come here, I'm dying.","Goodnight, CUMID!",,,
"I will see you later, do not be a stranger.","I’ll CURLO, don’t be a stranger!",,,
Review the document and the current working directory.,Check out the doc and CWD.,,,
That meeting was a complete waste of time.,That meeting was a total CWOT.,,,
"I am signing off now, I will catch you later.","I’m logging off, CWYL!",,,
"I apologize, but the meeting is scheduled for tomorrow.","Oops, CX: the meeting is tomorrow.",,,
"It is late, goodbye.","It’s late, CYA!",,,
"I have to leave, I will see you later.","Got to go, CYAL8R!",,,
I have sent you the details; please check your email.,"I sent you the details, CYE!",,,
"It is a surprise, indeed.","It’s a surprise, CYEP!",,,
I will catch you online for the game later.,I’ll CYO for the game later.,,,
I will give you a second chance when I am ready.,I’ll give you a D2 when I’m ready.,,,
Are you depressed?,Are you D46?,,,
Let us go to the movies.,Let’s head to DA movies.,,,
Does anyone else feel as though today has been excessively lengthy?,DAE feel like today’s been really long?,,,
What exactly just occurred?,DAFUQ just happened there?,,,
I am occupied.,"I’m busy, DAM!",,,
I am going to play Dark Age of Camelot this weekend.,I’m playing DAoC this weekend.,,,
"Even with the changes, we are doing business as usual here","Even with the changes, we’re DBAU here.",,,
"Be careful online, do better.","Be careful online, DBEYR.",,,
I was disconnected from the server.,I got DC’d from the server!,,,
My dear daughter is starting school this year.,My DD is starting school this year.,,,
Ensure that you conduct your due diligence before investing.,Make sure you do your DD before investing.,,,
She looked absolutely drop-dead gorgeous in that dress.,She looked absolutely DDG in that dress.,,,
You have been successfully ensnared in a joke.,"You walked right into that one, DEEZ NUTZ!",,,
My dad loves playing soccer.,My DEGT loves playing soccer.,,,
I forgot my keys again.,"I forgot my keys again, DERP.",,,
"I am not discussing that, darling friend.","I’m not talking about that, DF!",,,
"I finished the race in last place, but at least I finished.","I finished the race DFL, but at least I finished!",,,
I will return shortly; please wait for me.,"I’ll be right back, DGA!",,,
He does not give a formal explanation about what people think.,He DGAF about what people think.,,,
We are not discussing that; do not pursue that topic.,"We’re not talking about that, DGT.",,,
"You did not just say that, do not go to Google.","You did not just say that, DGTG!",,,
I saw you at the party last night; you look very attractive.,"Saw you at the party last night, DGYF!",,,
My dear husband is cooking dinner this evening.,My DH is cooking dinner tonight.,,,
Thank you for the support during the difficult period.,Thanks for the DHU during the tough times.,,,
What is the answer to this problem? I do not know.,What’s the answer to this problem? DIIK.,,,
Hello. Do I know you? You look familiar.,"Hey, DIKU? You look familiar.",,,
Your complaints are irrelevant to me.,"You can complain all you want, but DILLIGAF.",,,
Do you believe that is of concern to me? That is none of my concern.,You think that bothers me? DILLIGAS.,,,
Do you think I would not help you? Reconsider that thought.,DIS I wouldn’t help you? Think again.,,,
Did I tell you I dreamt about how stressful work has been?,DITYID about how stressful work has been?,,,
"If you desire the task to be completed correctly, you should do it yourself.","If you want it done right, just DIY.",,,
What is the latest news today? I am not aware of and do not have an interest in the topic.,What’s happening in the news today? DKDC.,,,
I earned a significant amount of Dragon Kill Points during the organized group activity.,I earned a ton of DKP during the raid.,,,
I am waiting for the new game to download.,I’m waiting for the new game to D/L.,,,
The file is taking an excessively long time to download.,The file is taking forever to DL.,,,
"Please keep this confidential, as it is a secret.","Keep this on the DL, it’s a secret.",,,
"I opened the article, but the information was unsatisfactory.","I clicked the article, but it was a DL.",,,
Goodnight! Do not let the bed bugs bite!,Goodnight! DLBBB!,,,
"Sleep well, do not let the bed bugs bite.","Sleep well, DLTBBB!",,,
It does not matter whether we go now or later.,It DM whether we go now or later.,,,
I will send you the details via direct message later.,I’ll DM you the details later.,,,
Could you send a private message asking for a favor and then hand that to me?,Can you DM a favor and pass me that?,,,
Our Dungeon Master is preparing a new campaign for tonight.,Our DM is preparing a new campaign for tonight.,,,
"I do not know, but that was a strange comment.","DMNO, but that was a weird thing to say.",,,
"That movie was not frightening in the slightest, do not mess yourself.","That movie wasn’t scary at all, DMY!",,,
I am available to socialize later.,I’m DN to hang out later.,,,
What was the intention behind that statement? Do not concern yourself with it.,What did you mean by that? DNC.,,,
Let us go get dinner tonight.,Let’s grab DNR tonight.,,,
Do not forget to bring the tickets.,DNT forget to bring the tickets!,,,
"How are you, friend?","What’s up, d00d?",,,
"She is truly a delightful and charming individual, consistently demonstrating kindness and thoughtfulness.","She’s a true DOE, always kind and caring.",,,
That puppy is adorable.,That puppy is so DORBS!,,,
I applied a damage-over-time spell during the final enemy encounter.,I applied a DOT spell during the boss fight.,,,
"My comment received a negative rating, which suggests it was not well-received.","My comment got a downvote, guess it wasn’t popular.",,,
I am assuming a Damage Per Second role in the raid.,I’m playing a DPS role in the raid.,,,
"I believe the meeting is scheduled for tomorrow, but I advise you not to rely on that information.","I think the meeting is tomorrow, but DQMOT.",,,
What is the summary of the document?,"DR, what’s the summary?",,,
My son or daughter is coming home from college this weekend.,My DS is coming home from college this weekend.,,,
"We need to define the relationship; are we simply friends, or is this a romantic relationship?","We need to DTR, are we just friends or more?",,,
"Even if it is difficult, always do the right thing.","Even if it’s hard, always DTRT.",,,
Are you coming to the party? Don’t take sides.,Are you coming to the party? DTS.,,,
"We will return shortly, do not touch that dial.","We’ll be right back, DTTD!",,,
I inadvertently created a duplicate of the file.,I accidentally made a DUPE of the file.,,,
Do you remember that trip we took last year?,DUR that trip we took last year?,,,
Let us not deviate from the original plan.,Let’s not DV8 from the original plan.,,,
My spouse planned a surprise for my birthday.,My DW planned a surprise for my birthday.,,,
She is listed as a divorced white female in the profile.,She’s listed as a DWF in the profile.,,,
He is a divorced white male seeking a new beginning.,He’s a DWM looking for a new start.,,,
I had to consult the dictionary to determine the meaning of that word.,I had to check the DXNRY to figure out what that word meant.,,,
Do you know what you are talking about?,"You keep saying that, but DYNWUTB?",,,
"You were looking for your keys, did you find it?","You were looking for your keys, DYFI?",,,
The manner in which you explain things is quite boring.,"The way you explain things, DYFM!",,,
Do you not just hate it when you lose your keys right when you need them?,DYJHIW you lose your keys right when you need them?,,,
"Before you invest, make sure to do your own research.","Before you invest, make sure to DYOR.",,,
She was at the club while under the influence of ecstasy last night.,She was at the club on E last night.,,,
"Exercise caution, an individual of the opposite sex is approaching from the left.","Watch out, E approaching from the left!",,,
The item designated E1 must be completed by 5:00 PM.,E1 needs to be ready by 5 PM.,,,
Do not concern yourself with that; it is inconsequential.,"Don’t worry about it, it’s E123!",,,
"After hearing the good news, I felt pleased and relieved.","After hearing the good news, I had an E2EG.",,,
"I will reply shortly, as I am eating at the moment.","I’ll reply in a bit, I’m EAK right now.",,,
